State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate,Violent Crime,Property Crime,Violent Crime(Per 100k),Property Crime(Per 100k),Crime Rate(Per 100k)
CT,Torrington Police Department,41.812046,-73.12125,CT0014300,Torrington,35447,4715,13.3,42,478,118.49,1348.49,1466.98
CT,Naugatuck Police Department,41.504784,-73.054276,CT0008800,Naugatuck,31586,1529,4.84,30,414,94.98,1310.71,1405.69
CT,Newington Police Department,41.697254,-72.729836,CT0009400,Newington,30493,2478,8.13,24,887,78.71,2908.86,2987.57
CT,East Haven Police Department,41.29254,-72.86689,CT0004400,East Haven,28054,2266,8.08,33,727,117.63,2591.43,2709.06
CT,New London Police Department,41.3566,-72.09597,CT0009500,New London,27585,5763,20.89,54,392,195.76,1421.06,1616.82
CT,Wethersfield Police Department,41.72029,-72.667244,CT0015900,Wethersfield,27162,1463,5.39,20,397,73.63,1461.6,1535.23
CT,North Haven Police Department,41.387096,-72.8615,CT0010100,North Haven,24217,1386,5.72,5,656,20.65,2708.84,2729.49
DE,Wilmington Police Department,39.73873,-75.548965,DE0020600,Wilmington,70926,16362,23.07,924,2598,1302.77,3662.97,4965.74
DE,Dover Police Department,39.097088,-75.502982,DE0010100,Dover,38940,7108,18.25,276,1717,708.78,4409.35,5118.13
DE,Newark Police Department,39.575915,-75.644132,DE0020500,Newark,31393,6342,20.2,77,560,245.28,1783.84,2029.11
DE,Middletown Police Department,39.44838,-75.71802,DE0020200,Middletown,23001,1658,7.21,55,468,239.12,2034.69,2273.81
DE,Smyrna Police Department,39.300205,-75.61435,DE0010300,Smyrna,12619,1702,13.49,48,316,380.38,2504.16,2884.54
DE,Milford Police Department,38.91612,-75.42161,DE0030500,Milford,11249,1929,17.15,121,493,1075.65,4382.61,5458.26
DE,Seaford Police Department,38.65286,-75.61424,DE0030800,Seaford,7852,1215,15.47,89,365,1133.47,4648.5,5781.97
DE,Georgetown Police Department,38.694782,-75.3895,DE0031300,Georgetown,7079,1268,17.91,53,346,748.69,4887.7,5636.39
DE,Millsboro Police Department,38.677511,-75.335495,DE0031500,Millsboro,6542,501,7.66,29,161,443.29,2461.02,2904.31
DE,Elsmere Police Department,39.739624,-75.60179,DE0020700,Elsmere,6167,971,15.75,24,100,389.17,1621.53,2010.7
DE,New Castle Police Department,39.575915,-75.644132,DE0020400,New Castle,5482,159,2.9,31,189,565.49,3447.65,4013.13
DE,Laurel Police Department,38.677511,-75.335495,DE0030300,Laurel,3886,1512,38.91,61,146,1569.74,3757.08,5326.81
DE,Clayton Police Department,39.097088,-75.502982,DE0010600,Clayton,3845,342,8.89,7,21,182.05,546.16,728.22
DE,Camden Police Department,39.11345,-75.54225,DE0010400,Camden,3786,157,4.15,16,211,422.61,5573.16,5995.77
DE,Harrington Police Department,38.924095,-75.57957,DE0010200,Harrington,3730,785,21.05,12,70,321.72,1876.68,2198.39
DE,Lewes Police Department,38.677511,-75.335495,DE0030400,Lewes,3257,218,6.69,5,43,153.52,1320.23,1473.75
DE,Milton Police Department,38.77769,-75.31031,DE0030600,Milton,3224,361,11.2,5,29,155.09,899.5,1054.59
DE,Selbyville Police Department,38.677511,-75.335495,DE0031600,Selbyville,2806,158,5.63,7,78,249.47,2779.76,3029.22
DE,Ocean View Police Department,38.677511,-75.335495,DE0031700,Ocean View,2556,316,12.36,2,20,78.25,782.47,860.72
DE,Bridgeville Police Department,38.744175,-75.599144,DE0030100,Bridgeville,2499,315,12.61,13,35,520.21,1400.56,1920.77
DE,Delmar Police Department,38.677511,-75.335495,DE0030200,Delmar,2241,319,14.23,14,44,624.72,1963.41,2588.13
DE,Delaware City Police Department,39.57391,-75.59376,DE0020900,Delaware City,1885,262,13.9,6,12,318.3,636.6,954.91
DE,Cheswold Police Department,39.097088,-75.502982,DE0012600,Cheswold,1705,297,17.42,13,9,762.46,527.86,1290.32
DE,Wyoming Police Department,39.118744,-75.55912,DE0013100,Wyoming,1636,162,9.9,5,18,305.62,1100.24,1405.87
DE,Greenwood Police Department,38.677511,-75.335495,DE0031400,Greenwood,1459,127,8.7,2,24,137.08,1644.96,1782.04
FL,Miami Police Department,25.7779,-80.197876,FL0130600,Miami,440807,90654,20.57,2230,13366,505.89,3032.17,3538.06
FL,Tampa Police Department,27.947796,-82.45798,FL0290200,Tampa,380476,63481,16.68,1860,6721,488.86,1766.47,2255.33
FL,Orlando Police Department,28.514435,-81.323295,FL0480400,Orlando,302968,46493,15.35,0,0,0.0,0.0,0.0
FL,St. Petersburg Police Department,27.771997,-82.65182,FL0521400,St. Petersburg,258245,31345,12.14,1525,7052,590.52,2730.74,3321.26
FL,Hialeah Police Department,25.873285,-80.26692,FL0130400,Hialeah,224362,41636,18.56,0,0,0.0,0.0,0.0
FL,Port St. Lucie Police Department,27.273928,-80.34833,FL0560200,Port St. Lucie,202177,16731,8.28,243,1840,120.19,910.09,1030.29
FL,Tallahassee Police Department,30.457855,-84.27986,FL0370300,Tallahassee,195057,44415,22.77,382,1111,195.84,569.58,765.42
FL,Cape Coral Police Department,26.551527,-81.892457,FL0360200,Cape Coral,193003,18990,9.84,49,363,25.39,188.08,213.47
FL,Fort Lauderdale Police Department,26.121895,-80.15851,FL0060300,Fort Lauderdale,182247,27702,15.2,0,0,0.0,0.0,0.0
FL,Pembroke Pines Police Department,26.00853,-80.27197,FL0060800,Pembroke Pines,170346,17914,10.52,0,0,0.0,0.0,0.0
